INFO:     Started server process [41260]
INFO:     Waiting for application startup.
2026-06-04 23:22:24  INFO      mcp.server.streamable_http_manager  StreamableHTTP session manager started
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:3001 (Press CTRL+C to quit)
2026-06-04 23:23:50  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:23:52  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (2701ms)
2026-06-04 23:25:50  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:25:50  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (1493ms)
2026-06-04 23:27:47  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:27:47  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (1070ms)
2026-06-04 23:27:53  INFO      oricalcum  OPTIONS /api/v1/projects/ws_002/storage/presign-upload -> 200  (0ms)
2026-06-04 23:27:54  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:27:54  INFO      oricalcum  POST /api/v1/projects/ws_002/storage/presign-upload -> 200  (675ms)
2026-06-04 23:27:55  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:27:56  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (841ms)
2026-06-04 23:28:19  INFO      oricalcum  OPTIONS /api/v1/projects/ws_002/storage/folder -> 200  (0ms)
2026-06-04 23:28:20  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:28:20  INFO      oricalcum  POST /api/v1/projects/ws_002/storage/folder -> 200  (1245ms)
2026-06-04 23:28:21  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:28:21  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (502ms)
2026-06-04 23:28:22  INFO      oricalcum  OPTIONS /api/v1/projects/ws_002/storage -> 200  (0ms)
2026-06-04 23:28:22  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:28:23  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (497ms)
2026-06-04 23:28:25  INFO      httpx  HTTP Request: GET https://vvnepqtwtcnajvdnaucw.supabase.co/auth/v1/user "HTTP/2 200 OK"
2026-06-04 23:28:25  INFO      oricalcum  GET /api/v1/projects/ws_002/storage -> 200  (507ms)
